order_id;order_date;order_detail/information;order_status;order_deadline
334;10/01/2021;Tipe4 Biasa 140 Hitam;;
335;10/01/2021;Tipe4 Biasa 140 Hitam;;
336;12/01/2021;Tipe1 Permata 160 Hitam;;
337;12/01/2021;Tipe2 Permata 160 Hitam;;
338;12/01/2021;Tipe2 Permata 180 Hitam;;
339;12/01/2021;Tipe1 Biasa 160 Coklat;;
340;12/01/2021;Tipe1 Biasa 160 Hitam;;
341;12/01/2021;Tipe1 Biasa 180 Hitam;;
342;12/01/2021;Tipe2 Biasa 120 Hitam;;
343;12/01/2021;Tipe2 Biasa 160 Pink;;
344;12/01/2021;Tipe3 Biasa 120 Abu-Abu;;
345;12/01/2021;Tipe3 Biasa 180 Abu-Abu;;
346;14/01/2021;Tipe3 Biasa 160 Hitam;;
347;14/01/2021;Tipe3 Biasa 160 Pink;;
348;14/01/2021;Tipe4 Biasa 120 Pink;;
349;14/01/2021;Tipe1 Laci 140 Abu-Abu;;
350;14/01/2021;Tipe2 Laci 160 Hitam;;
351;14/01/2021;Tipe2 Permata 120 Abu-Abu;;
352;14/01/2021;Tipe3 Permata 160 Coklat;;
353;14/01/2021;Tipe1 Biasa 180 Abu-Abu;;
354;14/01/2021;Tipe1 Biasa 180 Coklat;;
355;14/01/2021;Tipe1 Biasa 160 Hitam;;
356;14/01/2021;Tipe2 Biasa 180 Hitam;;
357;14/01/2021;Tipe2 Biasa 180 Pink;;
358;14/01/2021;Tipe3 Biasa 160 Hitam;;
359;14/01/2021;Tipe3 Biasa 180 Hitam;;
360;14/01/2021;Tipe4 Biasa 180 Abu-Abu;;
361;14/01/2021;Tipe4 Biasa 160 Coklat;;
362;14/01/2021;Tipe4 Biasa 160 Pink;;
363;14/01/2021;Tipe2 Permata 140 Coklat;;
364;14/01/2021;Tipe4 Permata 160 Hitam;;
365;14/01/2021;Tipe1 Biasa 160 Abu-Abu;;
366;14/01/2021;Tipe1 Biasa 160 Coklat;;
367;14/01/2021;Tipe2 Biasa 120 Abu-Abu;;
368;17/01/2021;Tipe2 Biasa 140 Hitam;;
369;17/01/2021;Tipe2 Biasa 160 Hitam;;
370;17/01/2021;Tipe2 Biasa 160 Hitam;;
371;17/01/2021;Tipe2 Biasa 180 Merah;;
372;17/01/2021;Tipe2 Biasa 120 Pink;;
373;17/01/2021;Tipe3 Biasa 160 Coklat;;
374;17/01/2021;Tipe3 Biasa 180 Hitam;;
375;17/01/2021;Tipe4 Biasa 160 Abu-Abu;;
376;17/01/2021;Tipe1 Laci 140 Hitam;;
377;17/01/2021;Tipe2 Laci 120 Coklat;;
378;17/01/2021;Tipe4 Laci 160 Coklat;;
379;17/01/2021;Tipe1 Biasa 180 Abu-Abu;;
380;19/01/2021;Tipe1 Biasa 140 Coklat;;
381;19/01/2021;Tipe1 Biasa 160 Hitam;;
382;19/01/2021;Tipe2 Biasa 180 Abu-Abu;;
383;19/01/2021;Tipe2 Biasa 160 Coklat;;
384;19/01/2021;Tipe2 Biasa 140 Hitam;;
385;19/01/2021;Tipe3 Biasa 120 Abu-Abu;;
386;19/01/2021;Tipe3 Biasa 140 Abu-Abu;;
387;19/01/2021;Tipe3 Biasa 180 Coklat;;
388;19/01/2021;Tipe4 Biasa 140 Coklat;;
389;19/01/2021;Tipe4 Biasa 160 Hitam;;
390;19/01/2021;Tipe4 Biasa 160 Hitam;;
391;19/01/2021;Tipe1 Laci 140 Abu-Abu;;
392;19/01/2021;Tipe3 Permata 140 Abu-Abu;;
393;19/01/2021;Tipe1 Biasa 120 Coklat;;
394;21/01/2021;Tipe1 Biasa 160 Coklat;;
395;21/01/2021;Tipe1 Biasa 180 Coklat;;
396;21/01/2021;Tipe1 Biasa 160 Hitam;;
397;21/01/2021;Tipe1 Biasa 180 Hitam;;
398;21/01/2021;Tipe1 Biasa 180 Hitam;;
399;21/01/2021;Tipe2 Biasa 160 Hitam;;
400;21/01/2021;Tipe2 Biasa 120 Pink;;
401;21/01/2021;Tipe3 Biasa 140 Hitam;;
402;21/01/2021;Tipe4 Biasa 160 Coklat;;
403;21/01/2021;Tipe4 Biasa 160 Hitam;;
404;21/01/2021;Tipe2 Laci 160 Hitam;;
405;21/01/2021;Tipe1 Permata 160 Coklat;;
406;21/01/2021;Tipe2 Permata 160 Hitam;;
407;21/01/2021;Tipe1 Biasa 120 Hitam;;
408;24/01/2021;Tipe1 Biasa 140 Hitam;;
409;24/01/2021;Tipe2 Biasa 140 Coklat;;
410;24/01/2021;Tipe2 Biasa 180 Coklat;;
411;24/01/2021;Tipe2 Biasa 160 Hitam;;
412;24/01/2021;Tipe2 Biasa 160 Hitam;;
413;24/01/2021;Tipe2 Biasa 160 Hitam;;
414;24/01/2021;Tipe2 Biasa 180 Hitam;;
415;24/01/2021;Tipe3 Biasa 160 Abu-Abu;;
416;24/01/2021;Tipe3 Biasa 180 Abu-Abu;;
417;26/01/2021;Tipe3 Biasa 160 Pink;;
418;26/01/2021;Tipe3 Biasa 160 Pink;;
419;26/01/2021;Tipe4 Biasa 160 Hitam;;
420;26/01/2021;Tipe4 Biasa 160 Hitam;;
421;26/01/2021;Tipe1 Biasa 160 Abu-Abu;;
422;26/01/2021;Tipe1 Biasa 160 Coklat;;
423;26/01/2021;Tipe1 Biasa 160 Hitam;;
424;26/01/2021;Tipe1 Biasa 160 Merah;;
425;26/01/2021;Tipe2 Biasa 180 Coklat;;
426;28/01/2021;Tipe2 Biasa 160 Hitam;;
427;28/01/2021;Tipe2 Biasa 160 Pink;;
428;28/01/2021;Tipe3 Biasa 160 Coklat;;
429;28/01/2021;Tipe3 Biasa 160 Coklat;;
430;28/01/2021;Tipe4 Biasa 160 Hitam;;
431;28/01/2021;Tipe4 Biasa 140 Pink;;
432;28/01/2021;Tipe3 Laci 180 Hitam;;
433;28/01/2021;Tipe4 Laci 140 Merah;;
434;28/01/2021;Tipe2 Permata 160 Hitam;;
435;28/01/2021;Tipe2 Biasa 140 Abu-Abu;;
436;28/01/2021;Tipe2 Biasa 160 Abu-Abu;;
437;28/01/2021;Tipe2 Biasa 160 Hitam;;
438;28/01/2021;Tipe3 Biasa 160 Abu-Abu;;
439;28/01/2021;Tipe3 Biasa 180 Coklat;;
440;28/01/2021;Tipe3 Biasa 120 Hitam;;
441;28/01/2021;Tipe3 Biasa 180 Hitam;;
442;28/01/2021;Tipe3 Biasa 180 Hitam;;
443;28/01/2021;Tipe4 Biasa 160 Hitam;;
444;28/01/2021;Tipe4 Biasa 160 Hitam;;
445;28/01/2021;Tipe1 Laci 180 Pink;;
446;31/01/2021;Tipe2 Permata 140 Hitam;;
447;31/01/2021;Tipe3 Permata 140 Merah;;
448;31/01/2021;Tipe4 Permata 160 Coklat;;
449;31/01/2021;Tipe1 Biasa 160 Hitam;;
450;31/01/2021;Tipe1 Biasa 160 Hitam;;
451;31/01/2021;Tipe2 Biasa 180 Abu-Abu;;
452;31/01/2021;Tipe2 Biasa 160 Hitam;;
453;31/01/2021;Tipe2 Biasa 120 Merah;;
454;31/01/2021;Tipe2 Biasa 160 Pink;;
455;31/01/2021;Tipe3 Biasa 140 Coklat;;
456;31/01/2021;Tipe3 Biasa 160 Hitam;;
457;31/01/2021;Tipe3 Biasa 160 Pink;;
458;02/02/2021;Tipe4 Biasa 180 Abu-Abu;;
459;02/02/2021;Tipe4 Biasa 120 Hitam;;
460;02/02/2021;Tipe4 Biasa 180 Hitam;;
461;02/02/2021;Tipe1 Laci 160 Hitam;;
462;02/02/2021;Tipe2 Laci 180 Coklat;;
463;02/02/2021;Tipe2 Biasa 160 Abu-Abu;;
464;02/02/2021;Tipe2 Biasa 120 Coklat;;
465;02/02/2021;Tipe2 Biasa 180 Coklat;;
466;02/02/2021;Tipe3 Biasa 180 Abu-Abu;;
467;02/02/2021;Tipe3 Biasa 140 Coklat;;
468;02/02/2021;Tipe3 Biasa 160 Hitam;;
469;04/02/2021;Tipe3 Biasa 160 Hitam;;
470;04/02/2021;Tipe3 Biasa 160 Hitam;;
471;04/02/2021;Tipe4 Biasa 160 Hitam;;
472;04/02/2021;Tipe4 Biasa 180 Hitam;;
473;04/02/2021;Tipe1 Laci 140 Coklat;;
474;04/02/2021;Tipe4 Laci 180 Pink;;
475;04/02/2021;Tipe1 Permata 160 Hitam;;
476;04/02/2021;Tipe3 Permata 160 Hitam;;
477;07/02/2021;Tipe1 Biasa 140 Abu-Abu;;
478;07/02/2021;Tipe1 Biasa 160 Hitam;;
479;07/02/2021;Tipe1 Biasa 160 Hitam;;
480;07/02/2021;Tipe2 Biasa 160 Coklat;;
481;07/02/2021;Tipe2 Biasa 120 Hitam;;
482;07/02/2021;Tipe2 Biasa 160 Hitam;;
483;07/02/2021;Tipe2 Biasa 160 Pink;;
484;07/02/2021;Tipe3 Biasa 180 Coklat;;
485;07/02/2021;Tipe3 Biasa 160 Hitam;;
486;07/02/2021;Tipe3 Biasa 180 Hitam;;
487;07/02/2021;Tipe4 Biasa 160 Hitam;;
488;09/02/2021;Tipe4 Biasa 160 Pink;;
489;09/02/2021;Tipe2 Laci 180 Hitam;;
490;09/02/2021;Tipe2 Permata 140 Hitam;;
491;09/02/2021;Tipe2 Biasa 160 Abu-Abu;;
492;09/02/2021;Tipe2 Biasa 120 Hitam;;
493;09/02/2021;Tipe2 Biasa 160 Hitam;;
494;09/02/2021;Tipe3 Biasa 180 Abu-Abu;;
495;11/02/2021;Tipe3 Biasa 180 Coklat;;
496;11/02/2021;Tipe3 Biasa 160 Pink;;
497;11/02/2021;Tipe4 Biasa 160 Hitam;;
498;11/02/2021;Tipe4 Biasa 160 Hitam;;
499;11/02/2021;Tipe4 Biasa 180 Pink;;
500;11/02/2021;Tipe3 Laci 180 Hitam;;
501;11/02/2021;Tipe4 Laci 160 Coklat;;
502;11/02/2021;Tipe1 Permata 120 Abu-Abu;;
503;11/02/2021;Tipe1 Permata 180 Abu-Abu;;
504;11/02/2021;Tipe3 Permata 160 Hitam;;
505;11/02/2021;Tipe1 Biasa 180 Abu-Abu;;
506;11/02/2021;Tipe2 Biasa 140 Hitam;;
507;11/02/2021;Tipe2 Biasa 140 Hitam;;
508;11/02/2021;Tipe2 Biasa 180 Hitam;;
509;14/02/2021;Tipe3 Biasa 140 Coklat;;
510;14/02/2021;Tipe3 Biasa 140 Hitam;;
511;14/02/2021;Tipe3 Biasa 160 Merah;;
512;14/02/2021;Tipe3 Biasa 160 Pink;;
513;14/02/2021;Tipe4 Biasa 180 Coklat;;
514;14/02/2021;Tipe4 Biasa 160 Hitam;;
515;14/02/2021;Tipe2 Laci 120 Hitam;;
516;14/02/2021;Tipe3 Laci 140 Hitam;;
517;16/02/2021;Tipe4 Laci 140 Abu-Abu;;
518;16/02/2021;Tipe2 Permata 180 Coklat;;
519;16/02/2021;Tipe1 Biasa 180 Hitam;;
520;16/02/2021;Tipe1 Biasa 180 Hitam;;
521;16/02/2021;Tipe1 Biasa 180 Pink;;
522;16/02/2021;Tipe2 Biasa 140 Abu-Abu;;
523;16/02/2021;Tipe2 Biasa 140 Coklat;;
524;16/02/2021;Tipe3 Biasa 180 Abu-Abu;;
525;16/02/2021;Tipe3 Biasa 160 Coklat;;
526;16/02/2021;Tipe4 Biasa 120 Coklat;;
527;16/02/2021;Tipe1 Laci 140 Abu-Abu;;
528;16/02/2021;Tipe2 Laci 160 Coklat;;
529;16/02/2021;Tipe2 Laci 140 Hitam;;
530;18/02/2021;Tipe2 Laci 160 Hitam;;
531;18/02/2021;Tipe3 Laci 140 Hitam;;
532;18/02/2021;Tipe3 Laci 160 Hitam;;
533;18/02/2021;Tipe1 Biasa 180 Abu-Abu;;
534;18/02/2021;Tipe1 Biasa 160 Coklat;;
535;18/02/2021;Tipe1 Biasa 160 Coklat;;
536;18/02/2021;Tipe1 Biasa 160 Hitam;;
537;18/02/2021;Tipe1 Biasa 160 Hitam;;
538;18/02/2021;Tipe2 Biasa 160 Pink;;
539;18/02/2021;Tipe3 Biasa 120 Abu-Abu;;
540;18/02/2021;Tipe3 Biasa 160 Hitam;;
541;18/02/2021;Tipe3 Biasa 160 Hitam;;
542;21/02/2021;Tipe4 Biasa 140 Abu-Abu;;
543;21/02/2021;Tipe4 Biasa 160 Coklat;;
544;21/02/2021;Tipe1 Laci 120 Abu-Abu;;
545;21/02/2021;Tipe3 Laci 160 Coklat;;
546;21/02/2021;Tipe4 Permata 160 Hitam;;
547;21/02/2021;Tipe1 Biasa 160 Abu-Abu;;
548;21/02/2021;Tipe1 Biasa 160 Coklat;;
549;21/02/2021;Tipe1 Biasa 120 Hitam;;
550;21/02/2021;Tipe1 Biasa 160 Hitam;;
551;23/02/2021;Tipe1 Biasa 160 Hitam;;
552;23/02/2021;Tipe2 Biasa 160 Coklat;;
553;23/02/2021;Tipe2 Biasa 160 Hitam;;
554;23/02/2021;Tipe3 Biasa 160 Abu-Abu;;
555;23/02/2021;Tipe3 Biasa 180 Abu-Abu;;
556;23/02/2021;Tipe3 Biasa 180 Abu-Abu;;
557;23/02/2021;Tipe3 Biasa 160 Hitam;;
558;23/02/2021;Tipe3 Biasa 160 Hitam;;
559;23/02/2021;Tipe3 Biasa 160 Hitam;;
560;23/02/2021;Tipe1 Permata 180 Coklat;;
561;23/02/2021;Tipe1 Biasa 120 Hitam;;
562;25/02/2021;Tipe1 Biasa 160 Merah;;
563;25/02/2021;Tipe1 Biasa 160 Pink;;
564;25/02/2021;Tipe2 Biasa 120 Coklat;;
565;25/02/2021;Tipe2 Biasa 140 Hitam;;
566;25/02/2021;Tipe2 Biasa 160 Hitam;;
567;25/02/2021;Tipe2 Biasa 160 Pink;;
568;25/02/2021;Tipe3 Biasa 140 Abu-Abu;;
569;25/02/2021;Tipe3 Biasa 160 Abu-Abu;;
570;25/02/2021;Tipe4 Biasa 180 Hitam;;
571;25/02/2021;Tipe3 Laci 120 Abu-Abu;;
572;28/02/2021;Tipe3 Laci 160 Coklat;;
573;28/02/2021;Tipe3 Permata 180 Abu-Abu;;
574;28/02/2021;Tipe3 Permata 140 Hitam;;
575;28/02/2021;Tipe1 Biasa 180 Coklat;;
576;28/02/2021;Tipe1 Biasa 180 Coklat;;
577;28/02/2021;Tipe1 Biasa 180 Hitam;;
578;28/02/2021;Tipe2 Biasa 180 Abu-Abu;;
579;28/02/2021;Tipe2 Biasa 140 Hitam;;
580;28/02/2021;Tipe2 Biasa 160 Hitam;;
581;02/03/2021;Tipe2 Biasa 180 Merah;;
582;02/03/2021;Tipe3 Biasa 140 Hitam;;
583;02/03/2021;Tipe3 Biasa 180 Hitam;;
584;02/03/2021;Tipe3 Biasa 140 Pink;;
585;02/03/2021;Tipe3 Biasa 160 Pink;;
586;02/03/2021;Tipe4 Biasa 140 Coklat;;
587;02/03/2021;Tipe1 Laci 180 Pink;;
588;02/03/2021;Tipe1 Permata 160 Abu-Abu;;
589;02/03/2021;Tipe1 Biasa 140 Coklat;;
590;02/03/2021;Tipe2 Biasa 140 Coklat;;
591;02/03/2021;Tipe2 Biasa 160 Coklat;;
592;02/03/2021;Tipe2 Biasa 160 Hitam;;
593;02/03/2021;Tipe2 Biasa 140 Merah;;
594;02/03/2021;Tipe2 Biasa 160 Pink;;
595;02/03/2021;Tipe3 Biasa 180 Abu-Abu;;
596;02/03/2021;Tipe3 Biasa 120 Coklat;;
597;04/03/2021;Tipe3 Biasa 160 Hitam;;
598;04/03/2021;Tipe4 Biasa 160 Hitam;;
599;04/03/2021;Tipe1 Laci 160 Abu-Abu;;
600;04/03/2021;Tipe1 Laci 160 Coklat;;
601;04/03/2021;Tipe2 Laci 160 Hitam;;
602;04/03/2021;Tipe2 Laci 160 Pink;;
603;04/03/2021;Tipe1 Biasa 180 Abu-Abu;;
604;04/03/2021;Tipe1 Biasa 120 Coklat;;
605;04/03/2021;Tipe2 Biasa 160 Abu-Abu;;
606;04/03/2021;Tipe2 Biasa 120 Hitam;;
607;04/03/2021;Tipe2 Biasa 140 Hitam;;
608;04/03/2021;Tipe2 Biasa 140 Hitam;;
609;04/03/2021;Tipe2 Biasa 180 Hitam;;
610;07/03/2021;Tipe2 Biasa 180 Pink;;
611;07/03/2021;Tipe3 Biasa 120 Coklat;;
612;07/03/2021;Tipe4 Biasa 180 Coklat;;
613;07/03/2021;Tipe4 Biasa 140 Pink;;
614;07/03/2021;Tipe3 Laci 160 Hitam;;
615;07/03/2021;Tipe3 Permata 180 Abu-Abu;;
616;07/03/2021;Tipe3 Permata 180 Hitam;;
617;07/03/2021;Tipe1 Biasa 120 Abu-Abu;;
618;07/03/2021;Tipe1 Biasa 140 Abu-Abu;;
619;07/03/2021;Tipe1 Biasa 160 Abu-Abu;;
620;09/03/2021;Tipe1 Biasa 180 Pink;;
621;09/03/2021;Tipe2 Biasa 160 Abu-Abu;;
622;09/03/2021;Tipe2 Biasa 180 Abu-Abu;;
623;09/03/2021;Tipe3 Biasa 160 Hitam;;
624;09/03/2021;Tipe3 Biasa 180 Hitam;;
625;09/03/2021;Tipe3 Biasa 180 Pink;;
626;09/03/2021;Tipe4 Biasa 160 Abu-Abu;;
627;11/03/2021;Tipe4 Biasa 180 Pink;;
628;11/03/2021;Tipe1 Laci 140 Hitam;;
629;11/03/2021;Tipe2 Laci 140 Hitam;;
630;11/03/2021;Tipe2 Permata 180 Coklat;;
631;11/03/2021;Tipe1 Biasa 140 Abu-Abu;;
632;11/03/2021;Tipe1 Biasa 160 Hitam;;
633;11/03/2021;Tipe1 Biasa 160 Hitam;;
634;11/03/2021;Tipe1 Biasa 160 Pink;;
635;11/03/2021;Tipe2 Biasa 160 Abu-Abu;;
636;11/03/2021;Tipe2 Biasa 140 Hitam;;
637;11/03/2021;Tipe2 Biasa 140 Hitam;;
638;11/03/2021;Tipe2 Biasa 160 Hitam;;
639;11/03/2021;Tipe2 Biasa 160 Hitam;;
640;11/03/2021;Tipe2 Biasa 180 Hitam;;
641;14/03/2021;Tipe3 Biasa 160 Hitam;;
642;14/03/2021;Tipe4 Biasa 160 Abu-Abu;;
643;14/03/2021;Tipe4 Biasa 160 Abu-Abu;;
644;14/03/2021;Tipe4 Laci 160 Pink;;
645;14/03/2021;Tipe1 Biasa 180 Coklat;;
646;14/03/2021;Tipe1 Biasa 160 Hitam;;
647;14/03/2021;Tipe1 Biasa 180 Hitam;;
648;14/03/2021;Tipe1 Biasa 140 Pink;;
649;14/03/2021;Tipe2 Biasa 120 Coklat;;
650;14/03/2021;Tipe2 Biasa 160 Hitam;;
651;14/03/2021;Tipe3 Biasa 160 Abu-Abu;;
652;16/03/2021;Tipe3 Biasa 180 Hitam;;
653;16/03/2021;Tipe3 Biasa 160 Pink;;
654;16/03/2021;Tipe4 Biasa 140 Abu-Abu;;
655;16/03/2021;Tipe4 Biasa 160 Coklat;;
656;16/03/2021;Tipe4 Biasa 160 Coklat;;
657;16/03/2021;Tipe4 Laci 120 Hitam;;
658;16/03/2021;Tipe2 Permata 160 Coklat;;
659;16/03/2021;Tipe4 Biasa 140 Hitam;;
660;16/03/2021;Tipe4 Biasa 140 Hitam;;
661;16/03/2021;Tipe1 Biasa 140 Coklat;;
662;16/03/2021;Tipe1 Biasa 160 Coklat;;
663;16/03/2021;Tipe2 Biasa 160 Abu-Abu;;
664;16/03/2021;Tipe2 Biasa 140 Hitam;;
665;18/03/2021;Tipe3 Biasa 140 Hitam;;
666;18/03/2021;Tipe4 Biasa 140 Coklat;;
667;18/03/2021;Tipe4 Biasa 140 Coklat;;
